episode,timestep,reward
1,3000,-66.7613
6,6000,-91.7455
10,9000,-84.3768
12,12000,-64.1112
14,15000,-67.6012
16,18000,-63.5388
18,21000,-64.9606
20,24000,-63.6031
23,27000,-78.66
25,30000,-63.7552
27,33000,-67.5222
29,36000,-59.351
31,39000,-63.0232
33,42000,-61.9769
35,45000,-57.5239
37,48000,-60.361
39,51000,-59.761
41,54000,-60.9488
43,57000,-56.5717
47,60000,-86.5169
51,63000,-83.9596
53,66000,-61.7666
56,69000,-80.6239
58,72000,-61.9404
60,75000,-52.6543
62,78000,-56.2722
64,81000,-58.4156
66,84000,-53.0568
68,87000,-49.7263
71,90000,-75.1204
73,93000,-54.0562
75,96000,-54.0967
77,99000,-80.6199
79,102000,-46.2726
81,105000,-47.4969
83,108000,-48.4308
85,111000,-42.9767
87,114000,-48.2753
89,117000,-55.3931
91,120000,-43.4319
93,123000,-40.2253
95,126000,-34.3115
97,129000,-39.5691
100,132000,-57.6441
103,135000,-54.818
106,138000,-58.6498
108,141000,-32.8815
110,144000,-28.8963
114,147000,-65.7645
117,150000,-87.9972
121,153000,-77.9538
123,156000,-23.3885
125,159000,-70.6921
128,162000,-56.5821
130,165000,-20.8901
132,168000,-24.8767
134,171000,-22.6629
136,174000,-22.3834
138,177000,-14.8579
140,180000,-13.9781
142,183000,-17.8598
145,186000,-75.3776
147,189000,-13.5176
149,192000,-17.5369
152,195000,-47.4646
154,198000,4.6597
156,201000,-4.6289
158,204000,4.9757
160,207000,2.8129
162,210000,-58.1667
164,213000,-44.5483
166,216000,7.1785
168,219000,1.5363
171,222000,-107.4329
174,225000,-65.5308
178,228000,-42.4963
180,231000,-55.6355
182,234000,4.726
186,237000,-58.0255
188,240000,-0.2066
190,243000,7.6391
192,246000,6.2308
194,249000,7.7636
196,252000,6.6061
198,255000,-31.2409
200,258000,16.5093
202,261000,38.4057
204,264000,-29.3465
206,267000,-27.1677
208,270000,9.9893
210,273000,-39.8397
212,276000,9.2885
215,279000,-17.8712
217,282000,30.2075
219,285000,12.542
221,288000,11.1385
223,291000,18.7851
225,294000,20.8041
227,297000,35.3615
229,300000,24.3214
231,303000,14.0165
233,306000,22.4467
235,309000,-23.6298
237,312000,30.4791
239,315000,16.1613
241,318000,22.919
243,321000,-88.5211
246,324000,-16.4228
248,327000,25.0291
250,330000,-45.1451
252,333000,36.048
255,336000,-18.8367
258,339000,-63.4842
261,342000,-13.9702
264,345000,-15.4829
266,348000,21.9702
269,351000,-14.5528
271,354000,35.88
273,357000,39.8083
275,360000,28.4651
277,363000,32.7004
279,366000,34.1148
281,369000,37.8167
283,372000,40.1905
285,375000,34.1364
287,378000,45.5432
289,381000,28.6465
291,384000,36.1915
293,387000,53.2355
295,390000,46.0611
297,393000,-16.6599
299,396000,43.9027
301,399000,23.4214
303,402000,42.2122
306,405000,2.0955
308,408000,-29.1545
310,411000,32.6693
312,414000,51.6083
315,417000,-3.9396
319,420000,-63.5585
323,423000,-62.5817
325,426000,46.1447
327,429000,42.4024
329,432000,-24.3179
331,435000,26.3593
333,438000,48.1704
335,441000,20.9878
337,444000,31.8845
339,447000,42.3469
341,450000,50.9161
343,453000,49.1795
345,456000,46.7686
347,459000,46.8467
349,462000,41.8381
352,465000,-9.1563
354,468000,51.9185
356,471000,38.0329
358,474000,-18.5871
360,477000,55.2139
363,480000,-11.2816
366,483000,-1.6654
368,486000,64.1653
370,489000,42.3372
372,492000,-7.4027
376,495000,-20.2129
378,498000,41.9856
380,501000,47.2115
382,504000,8.0993
384,507000,55.7829
386,510000,58.6408
388,513000,66.5988
390,516000,60.4818
392,519000,78.2355
394,522000,67.9043
396,525000,68.5262
