episode,timestep,reward
33,800,23.7879
66,1600,23.7576
96,2400,26.9333
129,3200,24.8788
159,4000,26.4
187,4800,27.6429
211,5600,33.7083
239,6400,27.5357
259,7200,41.45
281,8000,33.6364
292,8800,80.3636
302,9600,77.6
311,10400,88.7778
320,11200,91.3333
330,12000,78.9
338,12800,99.125
344,13600,123.0
352,14400,109.625
357,15200,146.0
363,16000,144.0
367,16800,181.0
371,17600,217.5
375,18400,199.0
379,19200,197.25
383,20000,195.75
387,20800,181.0
391,21600,182.75
394,22400,250.0
399,23200,187.2
402,24000,261.0
406,24800,210.25
411,25600,172.2
413,26400,289.0
417,27200,251.0
419,28000,296.5
425,28800,169.1667
427,29600,348.0
429,30400,365.0
432,31200,324.6667
435,32000,278.6667
437,32800,310.0
440,33600,309.0
443,34400,261.0
445,35200,344.0
447,36000,371.5
450,36800,335.0
452,37600,255.0
455,38400,329.3333
458,39200,277.3333
460,40000,352.5
464,40800,235.0
467,41600,269.3333
469,42400,344.0
472,43200,249.3333
475,44000,305.6667
478,44800,284.0
480,45600,378.5
482,46400,400.0
484,47200,268.0
488,48000,288.0
490,48800,335.0
493,49600,289.0
496,50400,259.3333
498,51200,311.5
500,52000,344.0
503,52800,388.0
507,53600,198.75
509,54400,344.0
511,55200,321.5
514,56000,351.3333
516,56800,400.0
518,57600,296.5
521,58400,303.3333
523,59200,396.0
526,60000,280.3333
528,60800,324.5
531,61600,268.3333
534,62400,311.0
536,63200,322.5
539,64000,242.3333
542,64800,351.6667
544,65600,297.5
547,66400,310.3333
549,67200,372.5
551,68000,380.5
553,68800,400.0
555,69600,396.5
557,70400,334.0
560,71200,391.3333
562,72000,400.0
564,72800,386.0
566,73600,374.5
568,74400,294.0
571,75200,330.0
573,76000,275.5
576,76800,384.0
578,77600,400.0
580,78400,357.0
583,79200,247.0
586,80000,306.6667
588,80800,353.0
590,81600,336.5
592,82400,391.0
594,83200,400.0
596,84000,400.0
598,84800,400.0
600,85600,352.5
603,86400,367.0
605,87200,400.0
607,88000,400.0
609,88800,336.0
611,89600,304.0
613,90400,400.0
615,91200,400.0
619,92000,288.75
621,92800,364.0
623,93600,400.0
625,94400,400.0
627,95200,400.0
629,96000,400.0
631,96800,400.0
633,97600,311.5
635,98400,385.0
637,99200,400.0
640,100000,354.0
