episode,timestep,reward
9,800,-173.8356
17,1600,-188.3239
26,2400,-138.1593
32,3200,-121.6394
39,4000,-231.094
47,4800,-179.4851
55,5600,-164.0121
63,6400,-152.5037
71,7200,-146.3422
78,8000,-149.0245
86,8800,-131.0484
96,9600,-143.5961
104,10400,-152.8289
111,11200,-163.763
119,12000,-180.4244
126,12800,-202.5573
136,13600,-108.8615
145,14400,-88.6957
153,15200,-121.1152
160,16000,-121.9321
168,16800,-121.2279
175,17600,-121.6275
183,18400,-71.7623
192,19200,-72.1483
199,20000,-90.8065
206,20800,-61.7909
213,21600,-86.5014
222,22400,-52.9719
228,23200,-79.2584
236,24000,-39.2968
239,24800,-23.2555
244,25600,-28.9342
250,26400,-48.5469
253,27200,-24.9379
259,28000,-46.5848
263,28800,-108.3245
266,29600,-86.8778
270,30400,42.8611
273,31200,-13.9156
276,32000,10.4087
282,32800,11.3231
287,33600,-76.3756
290,34400,24.4082
293,35200,65.1308
296,36000,6.889
300,36800,-73.1681
305,37600,-41.5068
308,38400,-121.8452
312,39200,-101.0749
315,40000,-140.3844
317,40800,-106.2456
321,41600,-25.1662
323,42400,-44.9945
326,43200,-138.0132
328,44000,110.809
332,44800,49.8531
336,45600,-112.4209
340,46400,-4.5309
343,47200,-100.5514
346,48000,-44.481
349,48800,37.9756
352,49600,49.2768
355,50400,31.3574
357,51200,-10.0114
361,52000,-44.011
366,52800,-4.5225
369,53600,-60.488
371,54400,-64.5057
373,55200,-11.1871
375,56000,80.4679
378,56800,-39.1482
380,57600,-12.8104
384,58400,-14.525
386,59200,72.4223
389,60000,-69.1727
392,60800,-33.2552
396,61600,3.9619
398,62400,54.1928
400,63200,90.5925
402,64000,66.2824
405,64800,56.2864
408,65600,6.7414
412,66400,-7.201
414,67200,51.2071
418,68000,-31.2667
421,68800,13.7254
423,69600,122.9955
426,70400,-6.8456
428,71200,102.0672
430,72000,40.157
432,72800,-44.6308
434,73600,7.2648
437,74400,66.167
439,75200,11.552
442,76000,91.5114
444,76800,90.3649
446,77600,100.1154
448,78400,138.2486
450,79200,151.5998
452,80000,110.1623
454,80800,52.6365
457,81600,94.0921
461,82400,57.8608
463,83200,97.3056
465,84000,104.8984
467,84800,90.5363
471,85600,34.8498
473,86400,62.466
476,87200,21.1292
480,88000,16.1259
483,88800,73.6071
486,89600,23.659
490,90400,42.7965
492,91200,111.9789
495,92000,-21.3044
498,92800,79.0691
501,93600,77.7235
504,94400,74.5188
506,95200,49.4975
508,96000,103.484
512,96800,69.244
514,97600,131.0747
516,98400,-139.497
518,99200,80.2389
522,100000,29.9242
524,100800,154.1621
530,101600,35.0433
534,102400,14.5824
538,103200,67.6392
542,104000,61.9028
545,104800,27.3399
548,105600,-11.8796
550,106400,146.1035
552,107200,-100.998
554,108000,140.714
556,108800,120.2101
559,109600,109.7294
561,110400,121.6006
566,111200,-28.0448
570,112000,14.1634
573,112800,31.7214
575,113600,93.5494
579,114400,44.0069
581,115200,166.5167
583,116000,93.5004
586,116800,56.1113
588,117600,124.3677
591,118400,54.3469
593,119200,135.7171
595,120000,81.5408
597,120800,57.6389
599,121600,117.0401
602,122400,108.1027
606,123200,62.2317
608,124000,88.9077
610,124800,175.4413
612,125600,146.6902
616,126400,76.4576
619,127200,20.0998
624,128000,44.1123
627,128800,76.847
629,129600,166.3053
632,130400,87.9849
634,131200,11.6342
637,132000,79.9107
639,132800,43.0471
641,133600,122.6179
643,134400,124.7255
647,135200,29.2996
649,136000,127.1608
652,136800,108.9516
655,137600,-44.3341
657,138400,174.5628
659,139200,169.2976
662,140000,14.2979
666,140800,-15.6448
668,141600,158.2773
671,142400,121.3283
673,143200,110.3339
676,144000,72.9342
678,144800,131.3935
680,145600,135.1072
682,146400,73.8705
684,147200,130.9588
686,148000,135.3311
690,148800,87.5653
692,149600,93.8063
694,150400,54.3693
696,151200,76.4316
698,152000,150.6376
701,152800,61.1165
703,153600,107.1831
705,154400,36.5675
708,155200,101.1064
710,156000,122.9282
712,156800,62.9654
716,157600,51.9878
719,158400,43.293
722,159200,85.1226
724,160000,131.7575
726,160800,78.5222
730,161600,62.6611
733,162400,113.225
735,163200,111.4957
739,164000,-25.1058
742,164800,59.5539
744,165600,151.3691
746,166400,141.9039
748,167200,49.3563
750,168000,117.931
753,168800,93.4635
755,169600,134.5373
757,170400,142.4466
760,171200,109.0833
762,172000,160.8192
764,172800,124.3137
766,173600,102.7727
768,174400,119.606
770,175200,66.232
773,176000,61.0767
777,176800,1.3692
781,177600,35.8955
783,178400,151.2111
785,179200,66.1451
790,180000,51.8993
793,180800,105.3677
795,181600,76.1065
798,182400,89.4552
802,183200,68.0907
804,184000,139.1322
808,184800,51.3484
811,185600,66.5144
813,186400,134.1215
815,187200,129.8673
817,188000,175.47
820,188800,76.7773
822,189600,159.7197
824,190400,157.8145
826,191200,123.7567
828,192000,55.8562
831,192800,85.5726
833,193600,162.1676
835,194400,120.2998
837,195200,157.4555
839,196000,147.2859
841,196800,169.9019
844,197600,120.3867
846,198400,128.0783
848,199200,152.7961
850,200000,137.7914
853,200800,107.631
855,201600,167.9275
859,202400,87.4017
861,203200,125.5886
864,204000,111.7095
867,204800,26.1279
869,205600,81.6244
873,206400,49.4549
875,207200,136.7284
877,208000,145.4508
879,208800,154.3852
881,209600,130.0818
883,210400,62.3919
886,211200,103.8916
889,212000,62.4724
891,212800,155.2379
893,213600,129.0682
895,214400,86.7154
897,215200,154.1012
899,216000,142.7504
901,216800,160.8486
903,217600,141.363
905,218400,105.0727
907,219200,149.0706
909,220000,135.1952
911,220800,146.5998
913,221600,146.8769
915,222400,97.605
917,223200,144.4743
920,224000,102.1775
922,224800,164.4448
924,225600,126.296
927,226400,101.6434
929,227200,88.7092
931,228000,126.2836
